Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
RIPPLR,Bengaluru,India’s first Plug-n-Play distribution ecosystem for brands,"Sojitz Corporation, Stride Ventures",2021,12000000.0,Pre-Series A,Transportation and Mobility
SK Finance,Jaipur,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,"IIFL Wealth, TPG Growth, Norwest Venture Partners",2021,53000000.0,Series F,Financial Services
Eggoz,Gurugram,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Nabventures, Avaana Capital",2021,3500000.0,Series A,Agriculture and Food
Fabriclore,Jaipur,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Fluid Ventures, Mulberry Silks",2021,700000.0,Pre-Series A,Consumer Goods
Verandah,Mumbai,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,"Mike Novogratz, Neeraj Arora",2021,1000000.0,Seed Round,Consumer Goods
OWO Technologies,Gurugram,An ecommerce startup offering online beverages and packaged drinking water,Undisclosed,2021,3000000.0,Seed Round,Agriculture and Food
EsportsXO,Bengaluru,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,We Founder Circle,2021,1100000.0,Seed Round,Media and Entertainment
Neobank Jupiter,Mumbai,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,"Tiger Global, Sequoia Capital",2021,86000000.0,Series C,Finance and FinTech
Glii,Noida,India’s finest dating companionship application,We Founder Circle,2021,10000.0,Seed Round,Media and Entertainment
GlobalBees,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.,"Premji Invest, Steadview Capital",2021,111000000.0,Series B,E-Commerce and Retail
SecureNow,Gurugram,SecureNow is an award winning tech-enabled insurance intermediary.,Apis Insurtech Fund I,2021,6000000.0,Series B,Finance and FinTech
Doubtnut,Gurugram,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Omidyar Network, Tencent Holdings",2021,30000000.0,Series B,Education
Infra.Market,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"InnoVen Capital, Nexus Venture Partners",2021,100000000.0,Series C,Real Estate and Construction
Battery Smart,New Delhi,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,Orios Venture Partners,2021,0.0,Seed Round,Technology
Kutuki,Bengaluru,Kutuki is a learning platform focused on children between the ages of three and seven.,Omidyar Network India,2021,2000000.0,Seed Round,Education
Eupheus,New Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Yuj Ventures, Sixth Sense Ventures",2021,4000000.0,Series B,Education
KreditBee,Bengaluru,KreditBee is an Instant Personal Loan Platform for Young Professionals.,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",2021,75000000.0,Series C,Finance and FinTech
Pencil,Mumbai,Pencil is a content publishing platform that enables writers to publish their work for free.,"Inflection Point Ventures, SucSEED Venture Partners",2021,1000000.0,Pre-Series A,Content publishing
Aisle,Bengaluru,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,"Anas Rahman Junaid, Vinod Jose",2021,0.0,Pre-Series A,Media and Entertainment
UptimeAI,Bengaluru,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",YourNest Venture Capital,2021,1500000.0,Seed Round,Technology
WizKlub,Bengaluru,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Incubate Fund India,2021,800000.0,Pre-Series A,Education
Zolve,Bengaluru,Zolve Innovations operates as a neo-banking startup.,"Kunal Shah, Greg Kidd",2021,15000000.0,Seed Round,Finance and FinTech
MediBuddy,Bengaluru,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","InnoVen Capital, TEAMFund",2021,3000000.0,Debt Financing,Education
Pariksha,Pune,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Venture Catalysts, 9Unicorns Accelerator Fund",2021,2000000.0,Pre-Series A,Education
Express Stores,Gurugram,Express Stores is a retail and omnichannel startup company,"Venture Highway, Rohit Bansal",2021,1000000.0,Seed Round,E-Commerce and Retail
Zingbus,Chandigarh,Zingbus is an emerging brand in the intercity bus services.,"Venture Catalysts, 9Unicorns Accelerator Fund",2021,0.0,Pre-Series A,Transportation and Mobility
Phable,Bengaluru,Mobile App for Patients and Doctors,"Fresco Capital, Social Starts",2021,12000000.0,Series A,Healthcare and Wellness
Supply6,Bengaluru,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rohit Goutamchand, India CXO Fund",2021,100000.0,Seed Round,Healthcare and Wellness
Swajal,Gurugram,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Rajasthan Venture Capital Fund, ACPL Exports",2021,1600000.0,Pre-Series A,Water purification
BharatPe,New Delhi,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Amplo, Insight Partners",2021,100000000.0,Series D,Finance and FinTech
Filo,New Delhi,Instant learning platform for students while self study.,Better Capital,2021,260000.0,Pre-Seed,Education
Method & Madness,Mumbai,Method & Madness Technology operates as a real-estate tech company.,Justin Mateen,2021,2000000.0,Seed Round,Real Estate and Construction
EduFund,Gujarat,Changing the way Indians evaluate and plan higher education,View Trade Holding Corp,2021,300000.0,Pre-Seed,Finance and FinTech
Pepperfry,Mumbai,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"InnoVen Capital, Bertelsmann India Investments",2021,30000000.0,Debt Financing,E-Commerce and Retail
Hypd Store,New Delhi,"A shop worthy content platform, personalized!",ScoopWhoop,2021,0.0,Pre-Seed,Content commerce
VerSe Innovation,Bengaluru,Owner of Dailyhunt App and I-Pay,"Canaan Valley Capital, Glade Brook Capital Partners",2021,1000000000.0,Series H,Innovation Management
Supersourcing,Indore,Build your next app or website with our exclusive network of certified IT companies.,"Vijay Shekhar Sharma, Dr Ritesh Malik",2021,200000.0,Seed Round,Technology
AutomataPi,Powai,AutomataPi is a next generation cognitive business process automation engine.,Indian Angel Network,2021,400000.0,Seed Round,Industrial and Manufacturing
Newton School,Bengaluru,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"RTP Global, Harshil Mathur",2021,5000000.0,Series A,Education
Siply,Bengaluru,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,2021,1000000.0,Seed Round,Finance and FinTech
SarvaGram,Mumbai,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,Elevation Capital,2021,10000000.0,Series B,Finance and FinTech
Unlu,Gurugram,Personalised Video Shoutout from top celebrities,EXPERT DOJO,2021,1000000.0,Seed Round,Technology
GlobalFair,Gurugram,One-stop solution for all your procurement needs,"Saama Capital, India Quotient",2021,2000000.0,Seed Round,Technology
Eduvanz,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","InCred Financial Services, Vivriti Capital, Northern Arc Capital",2021,10000000.0,Debt Financing,Finance and FinTech
Progcap,New Delhi,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,"Somak Ghosh, M V Nair",2021,1000000.0,Debt Financing,Finance and FinTech
ABL Workspaces,New Delhi,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,Wurk,2021,600000.0,Pre-Series A,Technology
SplashLearn,Gurugram,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,"Accel, Owl Ventures",2021,18000000.0,Series C,Education
Maya,Bengaluru,Maya enables women to keep track of their health via a mobile application.,Rajan Anadan,2021,2200000.0,Seed Round,Healthcare and Wellness
MediBuddy,Bengaluru,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"IDFC Private Equity, Bessemer Venture Partners",2021,40000000.0,Series B,Healthcare and Wellness
Zetwerk,Bengaluru,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Sequoia Capital India, Accel",2021,120000000.0,Series D,E-Commerce and Retail
YourPhysio,Nagpur,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Better Capital, Titan Capital",2021,350000.0,Pre-Seed,Healthcare and Wellness
Aviom Housing Finance,New Delhi,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Gojo & Company,2021,1000000.0,Debt Financing,Finance and FinTech
Hemp Horizons,Noida,Cannabis and Hemp company,Mumbai Angels,2021,200000.0,Seed Round,Cannabis startup
Koo,Bengaluru,Koo App operates as a microblogging app.,"3one4 Capital, Accel",2021,4100000.0,Series A,Blogging
InnerHour,Mumbai,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,"Hitesh Oberoi, Lightbox",2021,5200000.0,Series A,Healthcare and Wellness
Origo,Gurugram,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",YES Bank,2021,10000000.0,Debt Financing,Agriculture and Food
ExMyB,Gurugram,ExMyB provides financial service and consulting services.,Campus Fund,2021,0.0,Seed Round,Professional Services
Elucidata,New Delhi,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,Hyperplane Venture Capital,2021,5000000.0,Pre-Series A,Healthcare and Wellness
Saveo,Bengaluru,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Matrix Partners India, RTP Global",2021,4000000.0,Seed Round,Healthcare and Wellness
Qin1,Noida,Re-imagining Kids of 21st Century!,Venture Catalysts,2021,0.0,Pre-Series A,Education
DotPe,Gurugram,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Info Edge, Ruizheng Investment",2021,8000000.0,Seed Round,Finance and FinTech
KIKO TV,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",2021,0.0,Pre-Series A,E-Commerce and Retail
Quali55Care,Mumbai,Deliver highly durable & affordable medical equipments on rental and sale.,India Accelerator’s Angel Investor Network,2021,0.0,Seed Round,Healthcare and Wellness
SeeVC,New Delhi,Leverages artificial intelligence (AI) to build products for the education sector,Jimmy Singh,2021,1000000.0,Seed Round,Technology
VenWiz,Bengaluru,Digitising the interactions between core industry and vendors for engineering services,"Accel, Nexus Venture",2021,300000.0,Seed Round,B2B service
Headfone,Bengaluru,Headfone helps create and share the audio content with listeners.,Hashed,2021,3000000.0,Seed Round,Media and Entertainment
Zouk,Mumbai,100% Vegan bags from India.,Titan Capital,2021,0.0,Seed Round,Consumer Goods
GrowFix,Bengaluru,Building high-yield Debt assets for retail investors,"Zerodha's Rainmatter Capital, Better Capital",2021,2000000.0,Seed Round,Finance and FinTech
Dunzo,Bengaluru,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Lightbox, Evolvence India Fund",2021,40000000.0,Series E,Transportation and Mobility
BeyondSkool,Mumbai,BeyondSkool is a live upskilling platform for kids,Tomorrow Capital,2021,2000000.0,Seed Round,Education
Mindler,New Delhi,Mindler is a career counseling company that provides career development guidance counseling services for students.,"Inflection Point Ventures, DLabs",2021,1000000.0,Pre-Series A,Education
Fashinza,Gurgaon,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Accel Partners, Elevation Capital",2021,2600000.0,Seed Round,Industrial and Manufacturing
BharatPe,New Delhi,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"InnoVen Capital, Steadview Capital",2021,6000000.0,Debt Financing,Finance and FinTech
Turnip,Bengaluru,Turnip is a live game streaming and community platform.,Elevation Capital,2021,1600000.0,Seed Round,Media and Entertainment
Inficold,New Delhi,Provide uninterrupted and affordable cooling for refrigeration,Shell Foundation,2021,900000.0,Pre-Series A,Energy and Environment
